id,name,lat,long,updatedDate,numBikes,numEmptyDocks,installed,locked,installedDate
53,"Grafton Street, Mayfair",51.5099923,-0.143495266,2020-10-05 13:19:00,4,14,true,false,2010-07-10 10:03:00
54,"Golden Lane, Barbican",51.52174785,-0.094475072,2020-10-05 13:19:00,4,23,true,false,2010-07-10 13:59:00
55,"Finsbury Circus, Liverpool Street",51.51707521,-0.086685542,2020-10-05 13:19:00,20,12,true,false,2010-07-10 14:03:00
56,"Paddington Street, Marylebone",51.52058381,-0.154701411,2020-10-05 13:19:00,2,11,true,false,2010-07-10 14:07:00
57,"Guilford Street , Bloomsbury",51.52334672,-0.120202614,2020-10-05 13:19:00,11,17,true,false,2010-07-10 14:11:00
58,"New Inn Yard, Shoreditch",51.52452699,-0.079248081,2020-10-05 13:19:00,17,3,true,false,2010-07-10 14:15:00
60,"Lisson Grove, St. John's Wood",51.52644828,-0.172190727,2020-10-05 13:19:00,11,5,true,false,2010-07-10 14:39:00
61,"Great Dover Street, The Borough",51.49738251,-0.089446947,2020-10-05 13:19:00,13,20,true,false,2010-07-10 15:57:00
62,"Cotton Garden Estate, Kennington",51.4907579,-0.106323685,2020-10-05 13:19:00,13,10,true,false,2010-07-10 15:59:00
63,"Murray Grove , Hoxton",51.53089041,-0.089782579,2020-10-05 13:19:00,11,13,true,false,2010-07-10 16:02:00
64,"William IV Street, Strand",51.50946212,-0.124749274,2020-10-05 13:19:00,14,12,true,false,2010-07-10 16:05:00
66,"Holborn Circus, Holborn",51.51795029,-0.108657431,2020-10-05 13:19:00,8,30,true,false,2010-07-11 11:48:00
67,"Hatton Garden, Holborn",51.51882555,-0.108028472,2020-10-05 13:19:00,9,19,true,false,2010-07-11 12:24:00
68,"Theobald's Road , Holborn",51.52059681,-0.116688468,2020-10-05 13:19:00,7,19,true,false,2010-07-11 15:04:00
69,"Euston Road, Euston",51.5262363,-0.134407652,2020-10-05 13:19:00,10,13,true,false,2010-07-11 16:19:00
70,"Calshot Street , King's Cross",51.53136059,-0.117069978,2020-10-05 13:19:00,16,6,true,false,2010-07-11 16:49:00
71,"Newgate Street , St. Paul's",51.5154186,-0.098850915,2020-10-05 13:19:00,14,17,true,false,2010-07-12 09:55:00
72,"Farringdon Lane, Clerkenwell",51.52352001,-0.108340165,2020-10-05 13:19:00,11,3,true,false,2010-06-19 13:01:00
73,"Old Street Station, St. Luke's",51.52572618,-0.088486188,2020-10-05 13:19:00,12,24,true,false,2010-07-12 14:24:00
74,"Vauxhall Cross, Vauxhall",51.48591714,-0.124469948,2020-10-05 13:19:00,15,1,true,false,2010-07-12 14:26:00
75,"Torrens Street, Angel",51.53219984,-0.105480698,2020-10-05 13:19:00,9,9,true,false,2010-07-12 15:33:00
76,"Longford Street, The Regent's Park",51.52559505,-0.144083893,2020-10-05 13:19:00,9,11,true,false,2010-07-12 15:56:00
77,"Russell Square Station, Bloomsbury",51.52341837,-0.124121774,2020-10-05 13:19:00,10,13,true,false,2010-07-12 16:01:00
78,"Sadlers Sports Centre, Finsbury",51.52486887,-0.099489485,2020-10-05 13:19:00,5,12,true,false,2010-07-12 16:28:00
79,"Arundel Street, Temple",51.511726,-0.11385596,2020-10-05 13:19:00,13,5,true,false,2017-10-26 12:46:00
80,"Webber Street , Southwark",51.50069361,-0.102091246,2020-10-05 13:19:00,29,16,true,false,2010-07-12 17:34:00
81,"Great Titchfield Street, Fitzrovia",51.52025302,-0.141327271,2020-10-05 13:19:00,5,14,true,false,2010-07-13 10:23:00
82,"Chancery Lane, Holborn",51.514274,-0.111257,2020-10-05 13:19:00,14,1,true,false,2010-07-13 11:08:00
83,"Panton Street, West End",51.50963938,-0.131510949,2020-10-05 13:19:00,20,1,true,false,2010-07-13 11:10:00
84,"Breams Buildings, Holborn",51.51593725,-0.111778348,2020-10-05 13:19:00,17,8,true,false,2010-07-13 12:24:00
85,"Tanner Street, Bermondsey",51.50064702,-0.078600401,2020-10-05 13:19:00,22,18,true,false,2010-07-13 14:01:00
86,"Sancroft Street, Vauxhall",51.48947903,-0.115156562,2020-10-05 13:19:00,7,17,true,false,2010-07-13 14:19:00
87,"Devonshire Square, Liverpool Street",51.51646835,-0.079684557,2020-10-05 13:19:00,2,13,true,false,2010-07-13 14:28:00
88,"Bayley Street , Bloomsbury",51.51858757,-0.132053392,2020-10-05 13:19:00,11,14,true,false,2010-07-13 14:38:00
89,"Tavistock Place, Bloomsbury",51.5262503,-0.123509611,2020-10-05 13:19:00,11,7,true,false,2010-07-13 14:56:00
