id	name	lat	lon	x	y
1	River Street , Clerkenwell	51.52916347	-0.109970527	531203.5199778117	182832.06699842165
2	Phillimore Gardens, Kensington	51.49960695	-0.197574246	525208.0690493513	179391.92306994757
3	Christopher Street, Liverpool Street	51.52128377	-0.084605692	532985.8102782514	182001.57294075456
4	St. Chad's Street, King's Cross	51.53005939	-0.120973687	530437.759836825	182912.03895408634
5	Sedding Street, Sloane Square	51.49313	-0.156876	528050.9684206053	178742.00468992305
6	Broadcasting House, Marylebone	51.51811784	-0.144228881	528858.4395805418	181542.9232361966
7	Charlbert Street, St. John's Wood	51.53430039	-0.16807429999999998	527159.0093390833	183300.80800392662
8	Lodge Road, St. John's Wood	51.52834133	-0.17013448399999997	527032.6993103465	182634.55850175986
9	New Globe Walk, Bankside	51.507385299999996	-0.09644075099999999	532204.9701119395	180434.59483635446
10	Park Street, Bankside	51.50597426	-0.09275415699999999	532464.8901754634	180284.3435335911
11	Brunswick Square, Bloomsbury	51.52395143	-0.122502346	530349.1598696073	182230.08942309645
12	Malet Street, Bloomsbury	51.52168078	-0.130431727	529805.5497898399	181963.50059465558
13	Scala Street, Fitzrovia	51.51991453	-0.136039674	529421.5096733405	181757.16198143386
14	Belgrove Street , King's Cross	51.52994371	-0.123616824	530254.7598454814	182894.4699575757
15	Great Russell Street, Bloomsbury	51.51772703	-0.127854211	529995.6097707726	181528.4009471682
16	Cartwright Gardens , Bloomsbury	51.52635795	-0.125979294	530101.1098312396	182491.52027173576
17	Hatton Wall, Holborn	51.521661200000004	-0.109006325	531291.9599822884	181999.5167080756
18	Drury Lane, Covent Garden	51.51477076	-0.12221963	530394.9698493442	181209.6696477497
19	Taviton Street, Bloomsbury	51.52505093	-0.13116108699999998	529745.3797243277	182336.98136557097
20	Drummond Street , Euston	51.52773634	-0.135273468	529452.4997382081	182628.33131552246
21	Hampstead Road (Cartmel), Euston	51.53007835	-0.13884627	529198.049671463	182882.46217503928
22	Northington Street , Holborn	51.5222641	-0.114079481	530938.2899376497	182057.4783912203
23	Red Lion Square, Holborn	51.51943538	-0.119123345	530596.4698603807	181733.90856030767
24	British Museum, Bloomsbury	51.51908011	-0.124678402	530212.0898180817	181684.50999660327
25	Doric Way , Somers Town	51.5288338	-0.132250369	529659.079703264	182755.72160142614
26	Ampton Street , Clerkenwell	51.52728093	-0.11829517	530631.4898885449	182607.83875912149
27	Bouverie Street, Temple	51.51382102	-0.107927706	531389.3300382302	181129.59702593862
28	Bolsover Street, Fitzrovia	51.52351808	-0.143613641	528885.8896019821	182144.53348666604
29	Hereford Road, Bayswater	51.513735	-0.193487	525452.9773647224	180970.01667669893
30	Windsor Terrace, Hoxton	51.52915444	-0.093421615	532351.4101680061	182860.84450383266
31	Fanshaw Street, Hoxton	51.52953709	-0.08335332299999999	533048.6502796942	182921.6425494983
32	Leonard Circus , Shoreditch	51.52469624	-0.084439283	532987.4203127486	182381.35224419014
33	Central House, Aldgate	51.5156	-0.070056	534011.8455712339	181396.0437871521
34	Pancras Road, King's Cross	51.5341235	-0.129386874	529842.6597503606	183349.0307167954
36	De Vere Gardens, Kensington	51.50173726	-0.184980612	526076.2891422672	179650.42097193113
37	Penywern Road, Earl's Court	51.49159394	-0.19236925600000002	525591.3391074771	178509.7519050673
38	Abingdon Villas, Kensington	51.4973875	-0.19724558600000003	525236.9590239102	179145.6725816047
39	Shoreditch High Street, Shoreditch	51.5263778	-0.07813092099999999	533420.110329552	182579.82195584223
40	Commercial Street, Shoreditch	51.52127071	-0.0755789	533612.0703404148	182016.55141573894
41	Sun Street, Liverpool Street	51.52001715	-0.08391116800000001	533037.6802759146	181861.98242717478
42	Wenlock Road , Hoxton	51.53099181	-0.093903825	532312.640160416	183064.29467493328
43	Crawford Street, Marylebone	51.52026	-0.157183945	527953.6294630646	181758.42621686478
44	Bruton Street, Mayfair	51.51073687	-0.144165239	528883.6695988289	180722.24351101136
45	Boston Place, Marylebone	51.522511	-0.162298	527592.5505437803	181999.8243617846
46	Nesham Street, Wapping	51.507131	-0.06691	534254.9987027402	180460.03026774825
47	Warwick Avenue Station, Maida Vale	51.52334476	-0.18384640800000002	526095.3791379269	182055.22032115073
